observation_date,AUSCPIALLQINMEI
1/1/96,61.9456699999999998
1/1/97,62.0849775000000008
1/1/98,62.6189949999999982
1/1/99,63.5477125000000029
1/1/00,66.3803099999999944
1/1/01,69.3057799999999986
1/1/02,71.3721850000000018
1/1/03,73.3224974999999972
1/1/04,75.0406325000000010
1/1/05,77.0605999999999938
1/1/06,79.8003250000000008
1/1/07,81.6577675000000056
1/1/08,85.2101250000000050
1/1/09,86.7192924999999946
1/1/10,89.2500550000000032
1/1/11,92.1987474999999961
1/1/12,93.8240074999999933
1/1/13,96.1225924999999961
1/1/14,98.5140475000000038
1/1/15,99.9999849999999952
1/1/16,101.2770000000000010
1/1/17,103.2505249999999961
1/1/18,105.2240500000000054
1/1/19,106.9189499999999953
1/1/20,107.8244499999999988
1/1/21,110.9124750000000006
1/1/22,118.2261500000000041
1/1/23,124.8432999999999993
1/1/24,128.7903249999999957